,morpho_moment_axon_L1_µ_0,morpho_moment_axon_L1_µ_1x,morpho_moment_axon_L1_µ_1y,morpho_moment_axon_L1_µ_2x,morpho_moment_axon_L1_µ_2y,morpho_moment_axon_L23_µ_0,morpho_moment_axon_L23_µ_1x,morpho_moment_axon_L23_µ_1y,morpho_moment_axon_L23_µ_2x,morpho_moment_axon_L23_µ_2y,morpho_moment_axon_L4_µ_0,morpho_moment_axon_L4_µ_1x,morpho_moment_axon_L4_µ_1y,morpho_moment_axon_L4_µ_2x,morpho_moment_axon_L4_µ_2y,morpho_moment_axon_L5_µ_0,morpho_moment_axon_L5_µ_1x,morpho_moment_axon_L5_µ_1y,morpho_moment_axon_L5_µ_2x,morpho_moment_axon_L5_µ_2y,morpho_moment_axon_L6_µ_0,morpho_moment_axon_L6_µ_1x,morpho_moment_axon_L6_µ_1y,morpho_moment_axon_L6_µ_2x,morpho_moment_axon_L6_µ_2y,morpho_moment_dendrites_L1_µ_0,morpho_moment_dendrites_L1_µ_1x,morpho_moment_dendrites_L1_µ_1y,morpho_moment_dendrites_L1_µ_2x,morpho_moment_dendrites_L1_µ_2y,morpho_moment_dendrites_L23_µ_0,morpho_moment_dendrites_L23_µ_1x,morpho_moment_dendrites_L23_µ_1y,morpho_moment_dendrites_L23_µ_2x,morpho_moment_dendrites_L23_µ_2y,morpho_moment_dendrites_L4_µ_0,morpho_moment_dendrites_L4_µ_1x,morpho_moment_dendrites_L4_µ_1y,morpho_moment_dendrites_L4_µ_2x,morpho_moment_dendrites_L4_µ_2y,morpho_moment_dendrites_L5_µ_0,morpho_moment_dendrites_L5_µ_1x,morpho_moment_dendrites_L5_µ_1y,morpho_moment_dendrites_L5_µ_2x,morpho_moment_dendrites_L5_µ_2y,morpho_moment_dendrites_L6_µ_0,morpho_moment_dendrites_L6_µ_1x,morpho_moment_dendrites_L6_µ_1y,morpho_moment_dendrites_L6_µ_2x,morpho_moment_dendrites_L6_µ_2y,morpho_nm_total_length,morpho_nm_total_length_per_neurite,morpho_nm_neurite_lengths,morpho_nm_terminal_path_lengths_per_neurite,morpho_nm_section_lengths,morpho_nm_section_term_lengths,morpho_nm_section_bif_lengths,morpho_nm_neurite_volumes,morpho_nm_neurite_volume_density,morpho_nm_section_volumes,morpho_nm_section_areas,morpho_nm_section_tortuosity,morpho_nm_section_path_distances,morpho_nm_number_of_sections,morpho_nm_number_of_sections_per_neurite,morpho_nm_number_of_neurites,morpho_nm_number_of_bifurcations,morpho_nm_number_of_forking_points,morpho_nm_number_of_terminations,morpho_nm_section_branch_orders,morpho_nm_section_term_branch_orders,morpho_nm_section_bif_branch_orders,morpho_nm_section_radial_distances,morpho_nm_section_bif_radial_distances,morpho_nm_section_term_radial_distances,morpho_nm_section_end_distances,morpho_nm_section_strahler_orders,morpho_nm_local_bifurcation_angles,morpho_nm_remote_bifurcation_angles,morpho_nm_partition,morpho_nm_partition_asymmetry,morpho_nm_partition_pairs,morpho_nm_partition_asymmetry_length,morpho_nm_sibling_ratio,morpho_nm_diameter_power_relation,morpho_nm_number_of_segments,morpho_nm_segment_lengths,morpho_nm_segment_areas,morpho_nm_segment_volumes,morpho_nm_segment_radii,morpho_nm_segment_midpoints,morpho_nm_segment_taper_rates,morpho_nm_segment_path_lengths,morpho_nm_section_taper_rates,morpho_nm_segment_radial_distances,morpho_nm_segment_meander_angles,morpho_nm_principal_direction_extents,morpho_nm_total_area_per_neurite
L1_DAC_C270106A.swc,0.12365266304674337,0.25449331117367824,0.7879485049453524,0.05983833910307043,-0.10091934518449515,0.17534399152291832,0.07640871958503488,-0.19849287433079327,0.5204122832158969,0.06053133026748881,-0.21132427926412806,0.7409473366551079,0.11827022312991955,-0.6808081671122327,4.063304477352451,0.262769804858104,12854.49620365421,0.3723192618957568,2198.858659239458,-5.114967168669266,14384.606787910174,2.686870365305846,5233.4469416462,6.930094832396485,12834.118523842255,0.18004360549980344,0.3923456695565976,1.4713972011906284,0.05763415087671921,-0.08268526108426265,0.11992502878446874,0.047465285379086807,-0.1175898671797282,0.29209115303656924,0.07259491062627424,-0.2665008646983361,0.97918304636899,0.09649398421969342,-0.5472675079997817,3.230856153665847,14.871184805935876,4440.39334245755,3.9534140155223043,321.8452778520022,3.28022331516222,302.746560761839,5.018137608951007,2188.8012704439857,9.56250490333885,2159.412602025684,17218.44985151291,4304.612462878227,,,62.160465240478516,65.75544738769531,59.49769973754883,,0.0006200766971774694,9.421181500275614,62.702859948156295,1.1749478578567505,495.2816303189481,277.0,69.25,4.0,129.0,134.0,,7.028880866425993,7.8321678321678325,6.255813953488372,166.00306701660156,145.58714294433594,186.29818725585938,51.53288650512695,1.7509025270758123,1.4985514698351938,1.5013414808391918,,0.32444169326669947,7.12015503875969,0.050538708621223116,,,5286.0,3.257368326187134,3.285791185327146,0.49369414974959236,0.16742053627967834,1.1177188158035278,0.0010844748467206955,451.9751493631102,-0.0006870795623399317,158.0305938720703,2.609699495747372,676.9954987770553,4342.1730514098235
L1_DAC_C270106C.swc,0.16071123203549556,0.302929317982935,1.0163837662213364,0.07224798449467632,-0.10973777798839633,0.1731777556960767,0.07062091498316349,-0.1912691198312748,0.5209797930288919,0.0678580033642072,-0.24337162085665734,0.8790495434156644,0.13241134180405237,-0.7933390242591413,4.927457286311304,16.53852625240966,17926.797194450384,11.922050646147504,9967.546347105383,11.920677230672814,4385.815691586687,-0.2545357494246901,2578.3038996407304,20.759604511392578,15362.522723686692,0.13953030221927798,0.3103797327810918,1.1851585098753628,0.07316005645843614,-0.1075120275988803,0.16024532164840394,0.07046212802172903,-0.16583800263984888,0.3914531312524242,0.058726922852398424,-0.20311144173201467,0.709905375486253,0.11361117251937561,-0.6618370903214285,4.038266336741983,1.380533021807645,184.75044780729178,1.7052892796721033,94.63068367572374,2.5203515906299176,109.90471285353514,0.24678617892497198,64.14342726480834,3.7696005051471713,258.338697793092,9537.162006258965,1192.1452507823706,,,61.13565444946289,71.49665069580078,49.65456008911133,,0.007843534353973043,7.257710728796062,63.89284261168064,1.1847375631332397,284.40723821979304,156.0,19.5,8.0,74.0,74.0,,4.910256410256411,5.573170731707317,4.175675675675675,159.23719787597656,132.033447265625,183.78688049316406,51.484920501708984,1.6602564102564104,1.382525639372215,1.484859627056767,,0.38400087875894323,5.175675675675675,0.1009772634700581,,,3984.0,2.3938660621643066,2.5018281745537605,0.2841874682962314,0.17387674748897552,0.25168120861053467,0.0022231137845665216,302.166257586405,-0.0018870700150728226,173.65550231933594,2.616657713278467,316.5006040866563,1245.9104309277727
L1_DAC_C270106G.swc,0.1931707419785152,0.4405195323289242,1.540287528578006,0.06150559441971616,-0.09613487604233412,0.15399019525956253,0.06823956008443231,-0.17041736782960618,0.4330373411415229,0.0770312166043637,-0.2695126361236191,0.9535996664816159,0.12040598597714366,-0.702294961938741,4.217566625313766,5.234524287772871,6422.195568616484,3.3005793502855987,3463.3096893808506,3.9917403287162223,4351.653157166154,-4.288583815554219,4727.979413397996,2.611938612964829,3992.95249373684,0.14523356258263403,0.1671978028752664,0.4311988840471718,0.02401469579663823,-0.0358549807445126,0.05353303889734614,0.06595955804848952,-0.1577851236401502,0.37916950029235974,0.03282242428776159,-0.10447520362430877,0.3325491157096112,0.130853535068622,-0.7632966486852858,4.529682039458797,6.389331421048729,607.5871696394764,-1.0157171798504332,42.96041882769719,3.0504017000588526,412.51962316274887,-1.6462301857955417,82.56775309662065,-2.127159241482525,940.0415372856668,8938.03723847866,1489.6728730797768,,,44.91476058959961,47.281455993652344,44.122928619384766,,0.0009467020851021754,5.03418415033981,35.6956757787917,1.1585050821304321,214.81464340638874,199.0,33.166666666666664,6.0,89.0,94.0,,6.698492462311558,7.276190476190476,6.370786516853933,90.91874694824219,76.10517883300781,107.30452728271484,37.26993179321289,1.6884422110552764,1.4605123168319118,1.4711325859921258,,0.3215467486991302,7.123595505617978,0.09842230996502711,,,2691.0,3.321455717086792,2.639702519501877,0.3722789468292909,0.12859995663166046,3.7128372192382812,,236.73165455745172,-0.001988311531022191,94.02342987060547,2.6431897707422185,328.81284042696126,1183.906579996592
L1_DAC_sm080529a1-5_idA.swc,0.1413140538511889,0.2953612693011127,1.033544459501118,0.05693169174630647,-0.08856411145607454,0.14257640776338104,0.05431530975730127,-0.1369483347778272,0.35009607605979315,0.05802441574098055,-0.20388635103551694,0.7212125784108278,0.11112355061773113,-0.6678111148885536,4.143138851499162,-16.893140651892132,28884.78627331432,-1.801542693302683,9934.048257662336,-7.848875009205385,10995.732170410805,-5.839365141278272,11731.241925428103,-11.286779255782513,26318.60150852738,0.20972256433789577,0.47353263953339253,1.5478896550099894,0.07469548931212586,-0.10422343176615005,0.15427225206046874,0.048689508197650035,-0.13045241418231704,0.3508634887981181,0.042165906968325936,-0.14667573482474502,0.5147809758961986,0.10335862294005436,-0.6331990019654558,4.03297936677078,-10.025326732574003,2558.5829240225758,-5.737820381409249,1832.992478704798,-5.0335314824893285,1225.1682149301516,-7.461967424557057,2114.28380128991,-4.376589443366298,1872.3703485780463,28714.53359234333,4102.076227477619,,,62.832679748535156,58.00920867919922,67.80620574951172,,0.252625967882741,8.09385872386184,56.9828918309217,1.2844152450561523,515.12718968814,457.0,65.28571428571429,7.0,225.0,225.0,,10.218818380743983,11.03448275862069,9.377777777777778,204.9982147216797,187.4405517578125,222.0261688232422,47.24916076660156,1.7811816192560175,1.6249903572966817,1.385035746065084,,0.394746343790772,10.377777777777778,0.0416457498777985,,,25357.0,1.1324104070663452,1.0269819602765002,0.1458726756637166,0.13391105830669403,-38.60799026489258,,524.1008329093947,0.0002816269116010517,218.06478881835938,2.53706256382946,360.8940073439009,3720.168795247315
L1_DAC_sm080619a1-7_idG.swc,0.13793268300887157,0.2830452915289405,0.9395869505096037,0.05894173908566373,-0.09065065280112959,0.14405430828820978,0.05218358392914225,-0.1269752023485108,0.3134648275020052,0.0565952135604523,-0.20297722280284744,0.7316060669701037,0.12176487520101574,-0.714731658850602,4.336221014103443,6.412756701449247,6494.938038708117,5.152364779196415,2924.8298617610153,1.2109609765424991,1481.4127738447503,4.425189874166057,2008.782354460009,-2.134599541486121,5660.937359550271,0.04757393975668297,0.11354974094601386,0.3620905987925641,0.0,0.0,0.0,0.036713969058484015,-0.07599791350014005,0.15731567587188183,0.0,0.0,0.0,0.03981987659308596,-0.22577870332081287,1.280165265054557,1.61302914573927,54.69261977473509,0.0,0.0,1.2229422197043889,40.73620235265442,0.0,0.0,1.2997207476942019,42.42288441145216,13309.288271665573,2661.8576543331146,,,37.4909553527832,32.57512664794922,42.54723358154297,,74.20273279816102,3.0801123605341085,31.191361100589894,1.2992303371429443,322.5962720770231,355.0,71.0,5.0,175.0,175.0,,8.456338028169014,9.311111111111112,7.577142857142857,120.75741577148438,107.4534912109375,133.69180297851562,27.86427116394043,1.7521126760563381,1.55087450176486,1.3147897507108794,,0.41839078331835206,8.577142857142857,0.050739293237493065,,,11888.0,1.1195565462112427,0.9314378525159331,0.09197845625753773,0.13157932460308075,-13.659746170043945,0.0320330373942852,306.86158232595193,-0.0028325198218226433,121.17096710205078,2.515823699331595,318.79310887086905,2214.586638141882
L1_DAC_sm080625a1-6_idD.swc,0.16972367113083836,0.3354781187524607,1.1325313645017279,0.06694726357884755,-0.10139318399318087,0.1593462175546689,0.06412832347917768,-0.16283095563141953,0.4194576878763988,0.06466815429964488,-0.22635395037989678,0.798397131380317,0.13270359239188348,-0.7980029735315638,4.9751736824479105,60.650437186495445,54143.528265743975,22.093025183205953,18879.73064690752,29.9642886764157,25709.171851633644,18.299546354485077,16574.28711462009,40.43223774309796,39623.90320390287,0.12112223596907883,0.13583923392847105,0.42624978367094546,0.06825521016030951,-0.11458272919911926,0.19649044039780972,0.08528721604883763,-0.19944855225618993,0.47438959371542944,0.0657259520495574,-0.2294649007514639,0.8035799847052355,0.1004747018726621,-0.5358680348134842,2.9661588838350412,-1.8600795993512709,432.7687222682711,-0.8846296559138335,276.6025648446354,0.39512248564121905,142.54681215815853,0.1942477189883725,229.3006995744208,-1.1411831856630779,282.6481209234148,30099.170254707336,3762.396281838417,,,52.07469177246094,55.334869384765625,48.722991943359375,,3.6021014380856604,4.068450138432915,45.7994230106767,1.2396761178970337,415.9828735338363,578.0,72.25,8.0,285.0,285.0,,8.920415224913494,9.771331058020477,8.04561403508772,193.109130859375,170.78634643554688,214.8224334716797,41.416656494140625,1.7335640138408304,1.5240207823450955,1.3175068749932493,,0.4024118364587143,9.04561403508772,0.03150104264470096,,,17264.0,1.743464469909668,1.5333680780914696,0.13621201228071278,0.1406465768814087,-9.444600105285645,,419.31075336892536,-0.00033005495788529515,187.80026245117188,2.4564466578341113,317.13706680461337,3309.0083125213923
L1_DAC_sm080723a1-4_idC.swc,0.11749425969624415,0.20722671825372133,0.7283889198002863,0.045489143036942674,-0.06856158943449694,0.10664057642767748,0.05633059459748262,-0.14072802595579356,0.3564408728098838,0.05246808797964849,-0.1830287470573003,0.6434476810632349,0.12635137934300736,-0.7528579640320628,4.636306183638459,14.69905813047235,5227.091106636005,6.018546374263893,2166.0856574708905,6.989528746648501,2142.7121604862587,8.520174900860999,2868.6439223131774,18.8657255097717,7232.026296819244,0.1959637039928373,0.4466027050920011,1.5958423634948795,0.10874850427127528,-0.15440383699458843,0.2292065368781695,0.09370339641894235,-0.2412452905200941,0.6305331347559103,0.0781445794463279,-0.27408478584083634,0.9646869482803367,0.20825069060394472,-1.1480392349040227,6.589244395792873,-2.9740458950444766,217.45501703192173,-1.707942526356032,181.17951957947602,0.21270114669238996,121.92290830402635,1.5280604408115357,84.82465490915452,-1.7039652828574845,270.7451474128791,20716.983954191208,2959.5691363130295,,,54.37528610229492,56.67133712768555,51.993282318115234,,0.014798938880987156,4.284241325355374,44.26293292907252,1.2681695222854614,388.94454985465904,381.0,54.42857142857143,7.0,187.0,187.0,,12.719160104986877,13.45360824742268,11.957219251336898,169.69174194335938,148.46409606933594,190.15345764160156,41.697052001953125,1.8136482939632546,1.5517633284407912,1.362951090604015,,0.42169103636321525,12.957219251336898,0.07840740914585988,,,16997.0,1.2188612222671509,0.9921855295626658,0.09603435576633508,0.12492749094963074,-47.02494430541992,0.019590936601161957,424.6511081524924,0.000948133587371558,185.00909423828125,2.577348345235653,324.73831704257447,2409.1682065680907
L1_DAC_sm080930a1-5_idC.swc,0.16848305601652758,0.3261439118879828,1.1614424537789938,0.06901456317403448,-0.10171057088287863,0.15731365914799808,0.07339372095618948,-0.18773945130895867,0.48557775898406913,0.07122097387863696,-0.2530558036560672,0.9044465158003292,0.14512061124901304,-0.8727825657234708,5.432857443112528,-30.592963427142582,9584.220291851372,-12.056507900959465,7719.084035124982,-16.51410651936498,8363.105499819589,-24.668069048768064,11112.495173647572,-35.8760656061689,15743.13160733046,0.17535794426240173,0.3888050405223741,1.3973232769920145,0.03342787624959493,-0.052383423787947914,0.0820878678399738,0.05717693423184383,-0.15424519960542324,0.4184597365421622,0.07697282902176751,-0.2573338866400347,0.8655487981600938,0.13602158661705152,-0.8788973890580245,5.842095584271076,1.2216955693573524,182.57909236743103,-1.4511435057177173,62.99584988478664,-2.7526940346587088,476.6792071509224,-1.130183741323464,644.3209788527614,-8.467082059946469,1413.9151034504494,6144.874329566956,877.8391899381365,,,57.42872619628906,62.940879821777344,51.14488220214844,,0.01050839582132863,9.732984073084975,67.48704265863124,1.226772665977478,186.98643215571607,107.0,15.285714285714286,7.0,50.0,50.0,,4.0,4.631578947368421,3.28,111.57467651367188,87.54869079589844,132.65008544921875,46.87749099731445,1.6822429906542056,1.4735049679366297,1.3898694354817516,,0.2578787878787879,4.28,0.09605953085060666,,,3183.0,1.9305291175842285,2.2686501930485523,0.32718482432299467,0.18648052215576172,-28.206981658935547,,200.9891693991683,-0.004729230422526598,111.98460388183594,2.569376608440962,289.37220876431957,1031.587652067649
L1_DAC_sm090918b1-3_idA.swc,0.14898044699643434,0.29665545445792024,1.0264681072671251,0.05943106054291598,-0.08962292959553204,0.14121012995166274,0.06709470238796737,-0.16821863155247607,0.4267225523238708,0.05257190570372052,-0.1874188284536593,0.673285022412976,0.12139161987679746,-0.7419610352742849,4.697711344921329,35.05835489677267,19913.261757290762,16.69162287955872,8653.773528901247,16.052753317938105,6739.333155132885,18.49992728471095,12933.683875587334,28.007721890708957,13376.573856137864,0.13736057878042968,0.2473703766039428,0.9134858692828146,0.06711501290861469,-0.0963869512874683,0.14214412192594134,0.054483556105368335,-0.1401383229100417,0.36465208226059714,0.039516966821618885,-0.1443762505180693,0.5301284414908708,0.09006457592080308,-0.5615844927984853,3.580402186744665,5.5915802645439605,1563.6400019087575,5.057115666807777,943.8745683145964,0.5794048457407067,650.532164466705,-0.42603977679879856,327.06911016051635,0.4363311443461396,922.6153884689802,30004.37710416317,6000.875420832634,,,43.930274963378906,49.316444396972656,38.3442268371582,,0.0015459820103107366,2.8118694746874375,28.55575782370261,1.2132505178451538,350.2058523104446,683.0,136.6,5.0,336.0,338.0,,12.093704245973646,12.965217391304348,11.24702380952381,154.99740600585938,137.82577514648438,172.11920166015625,35.815608978271484,1.787701317715959,1.4767521155518721,1.282445448419661,,0.41267280444340754,12.125,0.0381961335046055,,,20028.0,1.4981213808059692,0.9738157875768364,0.09589109502753744,0.11366438120603561,9.904641151428223,,348.0487777021817,0.0014491588808596134,155.3407440185547,2.377893092200194,571.5888324155788,3900.716518717775
L1_DAC_sm090918b1-3_idB.swc,0.1857095936445873,0.38259446955309384,1.3722798371729275,0.07179595206648913,-0.1055150935371102,0.16233379757467992,0.07417666249677853,-0.17807304219013464,0.43406078111114227,0.07005611959669311,-0.243232736186068,0.8487875959382688,0.12373137930512637,-0.7369964458467249,4.545797173948138,-9.83127902498087,57178.77395472822,2.155222072369497,25048.770351532672,-5.693987550522811,20244.204617252526,8.98984079432097,19271.635382351225,11.849117074634615,30296.821946527056,0.08870950813234237,0.24832747277720427,0.9284803507637517,0.010507461950365019,-0.016673079977298062,0.026457507341337925,0.05461201663959329,-0.1282506611144154,0.3040248185871757,0.023558657001624902,-0.09032430032051977,0.348689193579675,0.09562586237042334,-0.6243319732263649,4.114887039086459,-3.268125448433264,143.78524775155057,-0.4137207188988267,17.281868625464117,-1.1261723476595387,29.531518352882077,-0.9812507156763292,42.07745696171694,-2.505271046447132,74.98143693648305,25911.600854754448,2879.066761639383,,,39.559696197509766,36.61920166015625,42.566837310791016,,0.010874463157998959,2.67422964064574,26.08065188173879,1.189945936203003,660.3215174720488,655.0,72.77777777777777,9.0,317.0,321.0,,18.746564885496184,19.419161676646706,18.126182965299684,174.6127166748047,162.83001708984375,186.304931640625,32.998233795166016,1.8244274809160306,1.5539814414462945,1.5404796835756855,,0.4800137122277376,19.27602523659306,0.0791982847047728,,,15571.0,1.6640936136245728,1.097092478488145,0.11249248054864551,0.11929018795490265,0.6782634258270264,,687.6684390340326,0.0009716690983623266,179.9706573486328,2.3021897322118834,341.02456366669253,1898.0918869487682
