,Layer+driverline
530731648,L6a Nos1-CreERT2
530737765,L5 Nos1-CreERT2
534141324,L6a Sst-IRES-Cre
534303031,L5 Sst-IRES-Cre
535708196,L2/3 Vip-IRES-Cre
535728342,L4 Vip-IRES-Cre
536306115,L2/3 Ndnf-IRES2-dgCre
536951541,L1 Ndnf-IRES2-dgCre
539014038,L2/3 Ndnf-IRES2-dgCre
547262585,L5 Nos1-CreERT2|Sst-IRES-FlpO
547325858,L6a Nos1-CreERT2|Sst-IRES-FlpO
547344442,L5 Nos1-CreERT2|Sst-IRES-FlpO
554779051,L4 Nkx2-1-CreERT2
554807924,L2/3 Nkx2-1-CreERT2
555001065,L5 Chrna2-Cre_OE25
555019563,L5 Chrna2-Cre_OE25
555089724,L1 Ndnf-IRES2-dgCre
555241040,L6a Chrna2-Cre_OE25
555341581,L1 Htr3a-Cre_NO152
555345752,L2/3 Htr3a-Cre_NO152
555697303,L1 Ndnf-IRES2-dgCre
556923554,L5 Ndnf-IRES2-dgCre
556968207,L4 Chat-IRES-Cre-neo
557261437,L2/3 Chat-IRES-Cre-neo
560753350,L2/3 Nos1-CreERT2
560965993,L4 Nos1-CreERT2
560992553,L6a Nos1-CreERT2
561325425,L2/3 Nkx2-1-CreERT2
561517025,L2/3 Nkx2-1-CreERT2
561532710,L5 Htr3a-Cre_NO152
561934585,L4 Vip-IRES-Cre
561985849,L6a Htr3a-Cre_NO152
562003142,L4 Chat-IRES-Cre-neo
562632795,L1 Ndnf-IRES2-dgCre
564346637,L5 Ndnf-IRES2-dgCre
564349611,L1 Ndnf-IRES2-dgCre
565120091,L4 Ndnf-IRES2-dgCre
565209132,L4 Htr3a-Cre_NO152
565407476,L2/3 Oxtr-T2A-Cre
565415071,L4 Oxtr-T2A-Cre
565417112,L4 Oxtr-T2A-Cre
565459685,L5 Oxtr-T2A-Cre
565462089,L4 Oxtr-T2A-Cre
565855793,L4 Oxtr-T2A-Cre
565866518,L2/3 Oxtr-T2A-Cre
565880475,L6a Vip-IRES-Cre
565888394,L4 Oxtr-T2A-Cre
566541912,L6b Nkx2-1-CreERT2
566647353,L2/3 Nos1-CreERT2
566671538,L2/3 Chrna2-Cre_OE25
566678900,L2/3 Nkx2-1-CreERT2
566761793,L5 Chrna2-Cre_OE25
567007144,L2/3 Vip-IRES-Cre
567312865,L5 Chrna2-Cre_OE25
567320213,L5 Chrna2-Cre_OE25
567354967,L5 Chrna2-Cre_OE25
567927838,L2/3 Pvalb-IRES-Cre
567952169,L2/3 Pvalb-IRES-Cre
569072334,L2/3 Vipr2-IRES2-Cre
569494755,L5 Ndnf-IRES2-dgCre
569670455,L5 Chrna2-Cre_OE25
569723367,L4 Pvalb-IRES-Cre
569723405,L6a Pvalb-IRES-Cre
569809287,L4 Vip-IRES-Cre
569810649,L2/3 Vip-IRES-Cre
569958754,L5 Chrna2-Cre_OE25
569965244,L5 Chrna2-Cre_OE25
569998790,L5 Pvalb-IRES-Cre
570438732,L2/3 Chat-IRES-Cre-neo
570896413,L2/3 Vip-IRES-Cre
570896453,L6a Vip-IRES-Cre
570946690,L6a Pvalb-IRES-Cre
571311039,L6a Pvalb-IRES-Cre
571379222,L2/3 Pvalb-IRES-Cre
571396942,L6a Pvalb-IRES-Cre
571867358,L2/3 Pvalb-IRES-Cre
572609108,L5 Pvalb-IRES-Cre
573404307,L6a Vipr2-IRES2-Cre
573622646,L4 Nos1-CreERT2|Sst-IRES-FlpO
574036994,L6a Nos1-CreERT2|Sst-IRES-FlpO
574038330,L6a Nos1-CreERT2|Sst-IRES-FlpO
574059157,L2/3 Pvalb-IRES-Cre
574067499,L4 Pvalb-IRES-Cre
574377552,L5 Pvalb-IRES-Cre
574734127,L1 Ndnf-IRES2-dgCre
574992320,L2/3 Pvalb-IRES-Cre
574993444,L6b Htr3a-Cre_NO152
575642695,L5 Sst-IRES-Cre
575774870,L4 Chat-IRES-Cre-neo
577218602,L4 Chat-IRES-Cre-neo
577369606,L2/3 Chat-IRES-Cre-neo
578485753,L6a Htr3a-Cre_NO152
578774163,L4 Chat-IRES-Cre-neo
579626068,L2/3 Ndnf-IRES2-dgCre
579662957,L6b Vipr2-IRES2-Cre
580014328,L5 Oxtr-T2A-Cre
580145037,L2/3 Vipr2-IRES2-Cre
580161872,L5 Htr3a-Cre_NO152|Pvalb-T2A-Dre
