,m-type,e-type,me-type,molecularID
567354967,Aspiny_2,Inh_6,ME_Inh_24,L5_Sst
567927838,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
567952169,Aspiny_8,Inh_12,ME_Inh_16,L2/3_Pvalb
569072334,Aspiny_6,Inh_11,ME_Inh_21,L2/3_Pvalb
569494755,Aspiny_11,Inh_7,ME_Inh_24,L5_Sst
569670455,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
569723367,Aspiny_8,Inh_9,ME_Inh_8,L4_Pvalb
569723405,Aspiny_12,Inh_8,ME_Inh_9,L6a_Pvalb
569809287,Aspiny_16,Inh_3,ME_Inh_3,L4_Vip
569810649,Aspiny_5,Inh_3,ME_Inh_1,L2/3_Vip
569958754,Aspiny_11,Inh_5,ME_Inh_24,L5_Sst
569965244,Aspiny_12,Inh_6,ME_Inh_25,L5_Sst
569998790,Aspiny_4,Inh_8,ME_Inh_9,L5_Pvalb
570438732,Aspiny_14,Inh_2,ME_Inh_4,L2/3_Vip
570896413,Aspiny_13,Inh_2,ME_Inh_2,L2/3_Vip
570896453,Aspiny_3,Inh_2,ME_Inh_26,L6a_Sst
570946690,Aspiny_4,Inh_11,ME_Inh_6,L6a_Pvalb
571311039,Aspiny_4,Inh_8,ME_Inh_6,L6a_Pvalb
571379222,Aspiny_8,Inh_13,ME_Inh_16,L2/3_Pvalb
571396942,Aspiny_12,Inh_13,ME_Inh_11,L6a_Pvalb
571867358,Aspiny_7,Inh_10,ME_Inh_14,L2/3_Pvalb
572609108,Aspiny_8,Inh_8,ME_Inh_8,L5_Pvalb
573404307,Aspiny_12,Inh_8,ME_Inh_9,L6a_Pvalb
573622646,Aspiny_1,Inh_6,ME_Inh_25,L4_Sst
574036994,Aspiny_3,Inh_4,ME_Inh_22,L6a_Sst
574038330,Aspiny_4,Inh_4,ME_Inh_23,L6a_Sst
574059157,Aspiny_5,Inh_13,ME_Inh_21,L2/3_Pvalb
574067499,Aspiny_8,Inh_10,ME_Inh_14,L4_Pvalb
574377552,Aspiny_3,Inh_13,ME_Inh_11,L5_Pvalb
574734127,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
574992320,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
574993444,Aspiny_19,Inh_1,ME_Inh_19,L6b_Lamp5
575642695,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
575774870,Aspiny_15,Inh_2,ME_Inh_5,L4_Vip
577218602,Aspiny_16,Inh_2,ME_Inh_4,L4_Vip
577369606,Aspiny_14,Inh_2,ME_Inh_4,L2/3_Vip
578485753,Aspiny_19,Inh_1,ME_Inh_19,L6a_Lamp5
578774163,Aspiny_16,Inh_2,ME_Inh_4,L4_Vip
579626068,Aspiny_8,Inh_1,ME_Inh_20,L2/3_Lamp5
579662957,Aspiny_19,Inh_13,ME_Inh_11,L6b_Pvalb
580014328,Aspiny_8,Inh_2,ME_Inh_25,L5_Sst
580145037,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
580161872,Aspiny_8,Inh_13,ME_Inh_14,L5_Pvalb
580162374,Aspiny_19,Inh_12,ME_Inh_9,L6a_Pvalb
582613001,Aspiny_15,Inh_2,ME_Inh_5,L2/3_Vip
582644266,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
582917630,Aspiny_19,Inh_3,ME_Inh_19,L6a_Lamp5
583104750,Aspiny_4,Inh_6,ME_Inh_23,L6a_Sst
583138230,Aspiny_13,Inh_3,ME_Inh_3,L2/3_Vip
583138568,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
583146274,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
583434059,Aspiny_4,Inh_11,ME_Inh_6,L5_Pvalb
584231995,Aspiny_11,Inh_6,ME_Inh_24,L5_Sst
584872371,Aspiny_16,Inh_3,ME_Inh_3,L5_Vip
585805211,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585832440,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585841870,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585925172,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
585944237,Aspiny_15,Inh_3,ME_Inh_5,L4_Vip
585946742,Aspiny_16,Inh_3,ME_Inh_5,L2/3_Vip
585947309,Aspiny_6,Inh_13,ME_Inh_21,L2/3_Pvalb
585951863,Aspiny_17,Inh_13,ME_Inh_21,L2/3_Pvalb
585952606,Aspiny_6,Inh_8,ME_Inh_21,L2/3_Pvalb
